appendix,decision,page,stt,medicine_name,active_ingredient,dosage_form,packaging,standard,shelf_life_months,registration_number,previous_registration_number,renewal_count
Phụ lục I,Cấp giấy đăng ký lưu hành,7,24,Bosfradin 500,Cefradin 500mg,Viên nang cứng,36 tháng,TCCS,"Hộp 1 vỉ, 2 vỉ, 3 vỉ, 5 vỉ, 10 vỉ x 10 viên (vỉ Al-Al; Al-PVDC)",VD-35796-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,25,Bosfradin suspension,Mỗi gói 2g chứa: Cefradin 250mg,Cốm pha hỗn dịch uống,36 tháng,TCCS,"Hộp 10 gói, 14 gói, 20 gói, 24 gói x 2g",VD-35797-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,26,Bostoserc 8,Betahistin dihydroclorid 8mg,Viên nén,36 tháng,TCCS,"Hộp 3 vỉ, 6 vỉ, 10 vỉ x 10 viên; Hộp 2 vỉ, 4 vỉ x 25 viên",VD-35798-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,7,27,Loratadin 10mg,Loratadin 10mg,Viên nén,36,TCCS,Hộp 10 vỉ x 10,VD-35799-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,28,Nexipraz 40 tab,Esomeprazol (dưới dạng Esomeprazol magnesi trihydrat) 40mg,Viên nén bao tan trong ruột,36 tháng,TCCS,"Hộp 02 vỉ, 04 vỉ, 10 vỉ x 07 viên",VD-35800-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,29,Prizil 125 sachet,"Mỗi gói 1,5g chứa: Cefprozil (dưới dạng Cefprozil monohydrat) 125mg",Cốm pha hỗn dịch uống,36 tháng,TCCS,"Hộp 10 gói, 14 gói, 20 gói, 24 gói, 30 gói x 1,5g",VD-35801-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,30,Prizil 250,Cefprozil (dưới dạng Cefprozil monohydrat) 250mg,Viên nén bao phim,36 tháng,TCCS,"Hộp 1 vỉ, 2 vỉ, 3 vỉ, 5 vỉ, 10 vỉ x 10 viên",VD-35802-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,31,Rupaton,Rupatadin (dưới dạng Rupatadin fumarat) 10mg,Viên nén,36 tháng,TCCS,"Hộp 2 vỉ, 3 vỉ, 5 vỉ, 10 vỉ x 10 viên",VD-35803-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,32,Vitar B6,Pyridoxin hydroclorid 100mg,Viên nang mềm,36 tháng,TCCS,"Hộp 5, 10 vỉ x 10 viên",VD-35804-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,33,Butranep,Tranexamic acid 100mg/1ml,Dung dịch uống,24 tháng,TCCS,"Hộp 5, 10, 20, 30, 40, 50 ống nhựa 10ml; Hộp 1 lọ 30ml; Hộp 1 lọ 60ml; Hộp 10 gói, 20 gói, 30 gói, 40 gói, 50 gói 10ml",VD-35805-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,34,Caprim,Captopril 1mg/1ml,Dung dịch uống,24 tháng,TCCS,"Hộp 10, 20, 50 ống x 5ml; Hộp 10, 20, 50 ống x 10ml; Hộp 1 lọ 30ml; Hộp 1 lọ 50ml; Hộp 1 lọ 100ml",VD-35806-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,8,35,Fofelic,Mỗi 5ml dung dịch chứa Sắt nguyên tố,Dung dịch uống,36 tháng,TCCS,"Hộp 2 vỉ, 4 vỉ, 6 vỉ, 8 vỉ x 5",VD-35807-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,36,Leve-SB 1500,Levetiracetam 1500mg/100ml,Dung dịch tiêm truyền,30 tháng,TCCS,Túi 100ml,VD-35808-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,37,Mucome Baby Spray,"Xylometazolin hydroclorid 0,05%",Dung dịch xịt mũi,36 tháng,TCCS,"Hộp 1 lọ 10ml, 15ml",VD-35809-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,38,Rifado,Rifamycin natri (tương đương 20000 IU/ml) 26mg/ml,Dung dịch nhỏ tai,36 tháng,TCCS,Hộp 1 lọ 10ml,VD-35810-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,39,Zensonid 200 inhaler,Mỗi liều xịt chứa Budesonid 200mcg,Thuốc phun mù định liều,24 tháng,TCCS,"Hộp 1 bình chứa 60 liều, 120 liều, 150 liều, 200 liều",VD-35811-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,40,Fahado,Paracetamol 500mg,Viên nén,36 tháng,TCCS,"Hộp 5 vỉ, 10 vỉ, 15 vỉ x 10 viên; Hộp 15 vỉ x 12 viên",VD-35812-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,9,41,Hatalin,Mebeverin hydrochlorid 135mg,Viên nén bao phim,36 tháng,TCCS,Hộp 5 vỉ x 10 viên,VD-35813-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,10,42,Ciprofloxacin IMP 400mg/200ml,Ciprofloxacin 400mg/200ml,Dung dịch tiêm truyền,24 tháng,USP hiện hành,"Hộp 5 túi, 10 túi nhôm x 01 chai 200ml",VD-35814-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,10,43,Levocetirizin 5,Levocetirizin dihydrochlorid 5mg,Viên nén bao phim,24 tháng,USP hiện hành,"Hộp 1 vỉ, 3 vỉ, 10 vỉ x 10 viên",VD-35815-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,10,44,Bambuterol 20,Bambuterol hydrochloride 20mg,Viên nén,36 tháng,TCCS,"Hộp 3 vỉ, 10 vỉ x 10 viên; Chai 100 viên; Chai 500 viên",VD-35816-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,10,45,Glimepiride 4mg,Glimepiride 4mg,Viên nén,36 tháng,DĐVN IV,"Hộp 3 vỉ x 10 viên, 10 vỉ x 10 viên",VD-35817-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,10,46,Kasparin,Alverin citrat 40mg,Viên nang cứng,36 tháng,TCCS,Hộp 10 vỉ x 10 viên; Chai 200 viên; Chai 500 viên,VD-35818-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,10,47,Levofloxacin 500mg,Levofloxacin (dưới dạng Levofloxacin hemihydrat) 500mg,viên nén bao phim,36 tháng,DĐVN V,Hộp 01 vỉ x 5 viên; Hộp 10 vỉ x 5 viên,VD-35819-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,11,48,Loratadin 10,Loratadin 10mg,Viên nén,36 tháng,TCCS,"Hộp 10 vỉ, 20 vỉ x 10 viên; Chai 100 viên; Chai 200 viên",VD-35820-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,11,49,Cozomat 10,Rizatriptan (dưới dạng Rizatriptan benzoat) 10mg,Viên nén,36 tháng,USP 40,Hộp 3 vỉ x 10 viên,VD-35821-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,11,50,Diamzac,Deferasirox 360mg,Viên nén bao phim,30 tháng,TCCS,Hộp 03 vỉ x 10 viên,VD-35822-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,11,51,Xyzsac 5,Levocetirizin dihydrochlorid 5mg,Thuốc cốm,36 tháng,TCCS,"Hộp 10 gói, 20 gói, 30 gói, 100 gói x 1g",VD-35823-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,12,52,Nimape 80,Paracetamol 80mg/5ml,Dung dịch uống,36 tháng,TCCS,"Hộp 10 ống, hộp 20 ống, hộp 30 ống x 5ml",VD-35824-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,12,53,Ometsu,Pregabalin 200mg/10ml,Dung dịch uống,24 tháng,TCCS,"Hộp 10 ống, hộp 20 ống, hộp 30 ống x 10ml",VD-35825-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,12,54,Tanzanfix,Pravastatin natri 40mg,Viên nén,36 tháng,TCCS,Hộp 3 vỉ x 10 viên,VD-35826-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,12,55,Ticagrelor SaVi 60,Ticagrelor 60mg,Viên nén bao phim,36 tháng,TCCS,Hộp 03 vỉ x 10 viên,VD-35827-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,12,56,Ursokol 250,Acid ursodeoxycholic 250mg,Viên nén bao phim,36 tháng,TCCS,"Hộp 03 vỉ, 06 vỉ x 10 viên",VD-35828-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,12,57,Zurelsavi 10,Prasugrel (dưới dạng Prasugrel HCl) 10mg,Viên nén bao phim,36 tháng,TCCS,Hộp 03 vỉ x 10 viên,VD-35829-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,58,Enhydra 10/25,Enalapril maleate 10mg; Hydroclorothiazid 25mg,Viên nén,36 tháng,TCCS,Hộp 10 vỉ x 10 viên,VD-35830-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,59,"Enhydra 5/12,5","Enalapril maleate 5mg; Hydroclorothiazid 12,5mg",Viên nén,36 tháng,TCCS,Hộp 10 vỉ x 10 viên,VD-35831-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,60,Tropinfull,Atropin sulfat (dưới dạng Atropin sulfat monohydrate) 1mg/5ml,Dung dịch tiêm,36 tháng,DDVN IV,"Hộp 05 ống, 100 ống x 5ml",VD-35832-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,61,Tropinhalf,"Atropin sulphat 0,5mg/5ml",Dung dịch tiêm,36 tháng,D ĐVN V,Hộp 5 ống; Hộp 100 ống x 5ml,VD-35833-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,62,Celecoxib,Celecoxib 100mg,Viên nang cứng,36 tháng,TCCS,Hộp 3 vỉ x 10 viên,VD-35834-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,63,Aluphagel,"Mỗi gói chứa nhôm phosphat gel 20% 12,38g",Hỗn dịch uống,36 tháng,TCCS,Hộp 30 gói x 20g,VD-35835-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,64,Colmax,Paracetamol,Viên nang,36,TCCS,Hộp 10 vỉ x 10,VD-35836-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,14,65,Iclarac,Ibuprofen 200mg; Codein phosphat hemihydrat 30mg,Viên nén bao phim,36 tháng,TCCS,Hộp 2 vỉ x 10 viên,VD-35837-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,14,66,Mibinir 300,Cefdinir 300mg,Viên nang cứng,36 tháng,USP,Hộp 1 vỉ x 10 viên; Hộp 3 vỉ x 10 viên,VD-35838-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,14,67,"Isotrin 0,05%","Isotretinoin 0,05%(w/w)",Gel bôi da,36 tháng,TCCS,Hộp 1 tuýp 15g,VD-35839-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,14,68,Octreotid,"Octreotid (dưới dạng Octreotid acetat) 0,1mg/1ml",Dung dịch tiêm,30 tháng,TCCS,"Hộp 1 vỉ, 2 vỉ x 5 ống x 1ml",VD-35840-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,14,69,Vinopa 80,Drotaverin hydroclorid 80mg/4ml,Dung dịch tiêm,36 tháng,TCCS,"Hộp 1, 5 vỉ x 10 ống x 4ml; Hộp 2, 10 vỉ x 5 ống x 4ml",VD-35841-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,70,Bisoprolol DWP 7.5mg,"Bisoprolol fumarat 7,5mg",Viên nén bao phim,36 tháng,TCCS,Hộp 06 vỉ x 10 viên,VD-35842-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,71,Dexibuprofen DWP 400mg,Dexibuprofen 400mg,Viên nén bao phim,36 tháng,TCCS,Hộp 06 vỉ x 10 viên,VD-35843-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,72,Fefolic DWP 322mg/350mcg,Sắt fumarat (tương ứng sắt 100mg) 322mg; Acid folic 350mcg,Viên nén bao phim,36 tháng,TCCS,Hộp 06 vỉ x 10 viên,VD-35844-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,73,Ketoprofen Tab DWP 100mg,Ketoprofen 100mg,Viên nén bao phim,36 tháng,TCCS,Hộp 06 vỉ x 10 viên,VD-35845-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,74,Ketotifen DWP 1mg,Ketotifen 1mg,Viên nang cứng,36 tháng,TCCS,Hộp 06 vỉ x 10 viên,VD-35846-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,75,Metronidazol DWP 375mg,Metronidazol 375mg,Viên nang cứng,36 tháng,TCCS,Hộp 06 vỉ x 10 viên,VD-35847-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,76,Naproxen EC DWP 250mg,Naproxen 250mg,Viên nén bao phim tan trong ruột,36 tháng,TCCS,Hộp 06 vỉ x 10 viên,VD-35848-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,77,Nizatidin DWP 75mg,Nizatidin 75mg,Viên nang cứng,36 tháng,TCCS,Hộp 06 vỉ x 10 viên,VD-35849-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,78,Pravastatin DWP 5mg,Pravastatin natri 5mg,Viên nén,36 tháng,TCCS,Hộp 06 vỉ x 10 viên,VD-35850-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,79,Ramipril Cap DWP 5mg,Ramipril 5mg,Viên nang cứng,24 tháng,TCCS,Hộp 06 vỉ x 10 viên,VD-35851-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,80,Solphabe,"Vitamin B1 110mg; Vitamin B6 200mg; Vitamin B12 0,5mg",Viên nang cứng,36 tháng,TCCS,Hộp 10 vỉ x 10 viên,VD-35852-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,16,81,Solpirac 1200,Mỗi gói 2g chứa Piracetam 1200mg,Thuốc cốm pha dung dịch uống,36 tháng,TCCS,Hộp 30 gói; Hộp 50 gói x gói 2g,VD-35853-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,16,82,Solpirac 800,Mỗi gói 2 g chứa Piracetam 800mg,Thuốc cốm pha dung dịch uống,36 tháng,TCCS,Hộp 30 gói; Hộp 50 gói x gói 2g,VD-35854-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,16,83,Rovacent,Spiramycin 750.000IU,Thuốc cốm,36 tháng,TCCS,Hộp 20 gói x 3g,VD-35855-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,16,84,Vacofenac 50,Diclofenac natri 50mg,Viên nén bao phim tan trong ruột,36 tháng,TCCS,Hộp 25 vỉ x 4 viên; Hộp 5 vỉ x 10 viên; Hộp 5 vỉ x 10 viên; Hộp 10 vỉ x 10 viên; Hộp 100 vỉ x 10 viên; Hộp 10 vỉ x 20 viên; Hộp 50 vỉ x 20 viên; Chai 100 viên; Chai 200 viên; Chai 500 viên,VD-35856-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,16,85,Vacorovel 300,Irbersartan 300mg,Viên nén bao phim,36 tháng,TCCS,Hộp 3 vỉ x 10 viên; Hộp 5 vỉ x 10 viên; Hộp 10 vỉ x 10 viên; Hộp 100 vỉ x 10 viên; Hộp 2 vỉ x 14,VD-35857-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,17,86,Vadol 650 DH,Paracetamol 650mg,Viên nén bao phim,36 tháng,TCCS,Hộp 10 vỉ x 10 viên; Hộp 25 vỉ x 4 viên; Hộp 50 vỉ x 10 viên; Hộp 100 vỉ x 10 viên; Chai 100 viên; Chai 200 viên; Chai 500 viên,VD-35858-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,17,87,Ibafilin,Cholin alfoscerat 400mg,Viên nang mềm,36 tháng,TCCS,"Hộp 02 vỉ, 03 vỉ, 05 vỉ x 10 viên",VD-35859-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,17,88,Piroxol,Ambroxol hydroclorid 30mg,Viên nén,36 tháng,TCCS,"Hộp 02 vỉ, 05 vỉ, 10 vỉ x 10 viên",VD-35860-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,17,89,Dimendrat,Dimenhydrinate 50mg,Viên nén,36 tháng,TCCS,Hộp 10 vỉ x 10 viên; Hộp 25 vỉ x 4 viên,VD-35861-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,17,90,Dinxo,Glimepirid 2mg,Viên nén,36 tháng,TCCS,Hộp 03 vỉ x 10 viên,VD-35862-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,17,91,Hadupred 4,Methylprednisolone 4mg,Viên nén,36 tháng,TCCS,"Hộp 03 vỉ, 10 vỉ x 10 viên; Lọ 100 viên",VD-35863-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,18,92,Nevobimax 5,Nebivolol (dưới dạng Nebivolol hydrochlorid) 5mg,Viên nén,36 tháng,TCCS,"Hộp 2 vỉ, 3 vỉ, 5 vỉ x 10 viên nén",VD-35864-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,18,93,Tacalique 60,Ticagrelor 60mg,Viên nén bao phim,36 tháng,TCCS,"Hộp 3 vỉ, 6 vỉ, 10 vỉ x 10 viên",VD-35865-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,18,94,Élonadin 180,Fexofenadin (dưới dạng Fexofenadin hydroclorid) 180mg,Viên nén bao phim,36 tháng,TCCS,"Hộp 2 vỉ, 3 vỉ, 5 vỉ x 10 viên",VD-35866-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,18,95,Ocecoran,Nicorandil 10mg,Viên nang cứng,24 tháng,TCCS,"Hộp 01 túi, 02 túi x 05 vỉ x 10 viên",VD-35867-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,19,96,Pymenospain 80mg,Drotaverin hydrochlorid 8 mg,Viên nén,36 tháng,TCCS,"Hộp 02 vỉ, 03 vỉ, 05 vỉ, 10 vỉ x 10 viên; Hộp 01 lọ 200 viên",VD-35868-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,19,97,Pyvasart HCT 160/25,Valsartan 160mg; Hydroclorothiazid 25mg,Viên nén bao phim,36 tháng,TCCS,Hộp 02 vỉ x 14 viên; Hộp 03 vỉ x 10 viên,VD-35869-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,19,98,Zoximcef 2g,Ceftizoxim (dưới dạng Ceftizoxim natri) 2g,Bột pha tiêm,24 tháng,TCCS,"Hộp 01 lọ, 10 lọ",VD-35870-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,19,99,Atenolol STADA 100 mg,Atenolol 100mg,Viên nén,36 tháng,TCCS,Hộp 02 vỉ x 15 viên,VD-35871-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,19,100,DN-Aceno 1,Acenocoumarol 1mg,Viên nén,36 tháng,TCCS,Hộp 3 vỉ x 10 viên,VD-35872-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,19,101,DN-Aceno 4,Acenocoumarol 4mg,Viên nén,36 tháng,TCCS,Hộp 3 vỉ x 10 viên,VD-35873-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,19,102,Magatex,Paracetamol,Viên nén,36,DĐV,"Hộp 3 vỉ, 5 vỉ,",VD-35874-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,20,103,Halirace 10,Racecadotril 10mg,Thuốc bột uống,24 tháng,TCCS,Hộp 16 gói x 2g; Hộp 30 gói x 2g,VD-35875-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,20,104,Cefpovera 40,Cefpodoxim (dưới dạng Cefpodoxim proxetil) 40mg,Bột pha hỗn dịch uống,36 tháng,USP41,Hộp 30 gói x 1g,VD-35876-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,20,105,Moxacin 500 mg,Amoxicilin (dưới dạng Amoxicilin trihydrat comacted) 500mg,Viên nang cứng,36 tháng,TCCS,"Hộp 10 vỉ, 20 vỉ x 10 viên, chai 100 viên, 200 viên, 300 viên, 500 viên",VD-35877-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,21,106,LoviloLSP1,Pitavastatin (dưới dạng Pitavastatin calcium) 1mg,Viên nén bao phim,36 tháng,TCCS,Hộp 03 vỉ x 10 viên,VD-35878-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,21,107,PUD-Cholecalciferol,Cholecalciferol 400IU,Viên nén,36 tháng,TCCS,Hộp 3 vỉ x 10 viên,VD-35879-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,21,108,Zopin TTN,"Zopiclon 7,5mg",Viên nén bao phim,36 tháng,TCCS,"Hộp 1 vỉ, 2 vỉ, 5 vỉ, 10 vỉ x 10 viên",VD-35880-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,21,109,Banoigin-Meyer,Paracetamol 500mg; Cafein khan 30mg,Viên nén,36 tháng,TCCS,"Hộp 02 vỉ, 10 vỉ x 10 viên; Hộp 01 chai 100 viên",VD-35881-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,21,110,Meyerlukast 4,Montelukast (dưới dạng Montelukast natri) 4mg,Viên nén nhai,36 tháng,TCCS,"Hộp 03 vỉ, 10 vỉ x 10 viên",VD-35882-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,21,111,Mykast 4,Montelukast (dưới dạng Montelukast,Cốm pha hỗn dịch,36 tháng,TCCS,Hộp 30 gói x 1g,VD-35883-22,,
Phụ lục I,Cấp giấy đăng ký lưu hành,22,112,Mylosulprid 25,Levosulpirid 25mg,Viên nén,36 tháng,TCCS,"Hộp 03 vỉ, 10 vỉ x 10 viên",VD-35884-22,,
